,city,country,parameter,value,unit
236,Delhi,IN,pm10,105.0,µg/m³
237,Delhi,IN,so2,12.9,µg/m³
238,Delhi,IN,co,700.0,µg/m³
239,Delhi,IN,no2,16.5,µg/m³
240,Delhi,IN,o3,36.2,µg/m³
241,Delhi,IN,co,220.0,µg/m³
242,Delhi,IN,o3,20.43,µg/m³
243,Delhi,IN,no2,17.19,µg/m³
244,Delhi,IN,pm25,27.32,µg/m³
245,Delhi,IN,pm10,66.81,µg/m³
246,Delhi,IN,no2,34.0,µg/m³
247,Delhi,IN,pm10,327.77,µg/m³
248,Delhi,IN,o3,29.98,µg/m³
249,Delhi,IN,pm25,118.63,µg/m³
250,Delhi,IN,co,2060.0,µg/m³
251,Bengaluru,IN,co,1570.0,µg/m³
252,Bengaluru,IN,o3,9.57,µg/m³
253,Bengaluru,IN,pm25,10.66,µg/m³
254,Bengaluru,IN,no2,37.05,µg/m³
255,Bengaluru,IN,so2,7.94,µg/m³
256,Bengaluru,IN,no2,17.01,µg/m³
257,Bengaluru,IN,o3,2.02,µg/m³
258,Bengaluru,IN,co,850.0,µg/m³
259,Bengaluru,IN,pm25,2.23,µg/m³
260,Bengaluru,IN,so2,6.54,µg/m³
261,Bengaluru,IN,o3,15.57,µg/m³
262,Bengaluru,IN,co,910.0,µg/m³
263,Bengaluru,IN,no2,131.87,µg/m³
264,Bengaluru,IN,so2,4.49,µg/m³
265,Bengaluru,IN,pm25,45.62,µg/m³
266,Bengaluru,IN,no2,28.93,µg/m³
267,Bengaluru,IN,co,340.0,µg/m³
268,Bengaluru,IN,pm25,9.77,µg/m³
269,Bengaluru,IN,so2,2.18,µg/m³
270,Bengaluru,IN,o3,17.11,µg/m³
271,Bengaluru,IN,o3,8.92,µg/m³
272,Bengaluru,IN,so2,7.25,µg/m³
273,Bengaluru,IN,pm25,9.0,µg/m³
274,Bengaluru,IN,co,810.0,µg/m³
275,Bengaluru,IN,no2,11.0,µg/m³
276,Bengaluru,IN,no2,166.55,µg/m³
277,Bengaluru,IN,so2,6.63,µg/m³
278,Bengaluru,IN,pm25,40.94,µg/m³
279,Bengaluru,IN,co,840.0,µg/m³
280,Kolkata,IN,o3,34.83,µg/m³
281,Kolkata,IN,co,360.0,µg/m³
282,Kolkata,IN,pm25,4.0,µg/m³
283,Kolkata,IN,pm10,2165.5,µg/m³
284,Kolkata,IN,no2,3.1,µg/m³
285,Kolkata,IN,so2,17.01,µg/m³
286,Birla Colony Campus,IN,pm25,0.0,µg/m³
287,Birla Colony Campus,IN,pm10,-12.27,µg/m³
288,Birla Colony Campus,IN,so2,27.95,µg/m³
289,Birla Colony Campus,IN,co,1400.0,µg/m³
290,Birla Colony Campus,IN,so2,8.98,µg/m³
291,Birla Colony Campus,IN,co,200.0,µg/m³
292,Birla Colony Campus,IN,pm25,15.1,µg/m³
293,Birla Colony Campus,IN,pm10,60.08,µg/m³
294,Satna,IN,co,2680.0,µg/m³
295,Satna,IN,pm25,13.27,µg/m³
296,Satna,IN,pm10,201.82,µg/m³
297,Satna,IN,so2,54.28,µg/m³
298,Satna,IN,so2,5.0,µg/m³
299,Satna,IN,co,45000.0,µg/m³
300,Satna,IN,pm25,10.0,µg/m³
301,Satna,IN,pm10,104.0,µg/m³
302,Mumbai,IN,no2,1.22,µg/m³
303,Mumbai,IN,co,940.0,µg/m³
304,Mumbai,IN,so2,0.0,µg/m³
305,Mumbai,IN,o3,11.51,µg/m³
306,Mumbai,IN,pm25,14.22,µg/m³
307,Mumbai,IN,pm10,0.0,µg/m³
308,Mysore Rd,IN,pm25,22.0,µg/m³
309,Mysore Rd,IN,o3,21.6,µg/m³
310,Mysore Rd,IN,so2,2.7,µg/m³
311,Mysore Rd,IN,no2,11.6,µg/m³
312,Mysore Rd,IN,no2,40.1,µg/m³
313,Mysore Rd,IN,pm25,13.0,µg/m³
314,Mysore Rd,IN,pm10,24.0,µg/m³
315,Mysore Rd,IN,co,0.71,µg/m³
316,Mysore Rd,IN,pm10,58.0,µg/m³
317,Mysore Rd,IN,co,0.47,µg/m³
318,Mysore Rd,IN,o3,9.53,µg/m³
319,Mysore Rd,IN,so2,11.7,µg/m³
320,Delhi,IN,no2,27.4,µg/m³
321,Delhi,IN,o3,5.7,µg/m³
322,Delhi,IN,pm25,38.0,µg/m³
323,Delhi,IN,pm10,69.0,µg/m³
324,Delhi,IN,co,600.0,µg/m³
325,Howrah,IN,o3,15.02,µg/m³
326,Howrah,IN,no2,31.7,µg/m³
327,Howrah,IN,pm25,19.1,µg/m³
328,Howrah,IN,pm10,43.5,µg/m³
329,Howrah,IN,so2,7.63,µg/m³
330,Howrah,IN,so2,7.9,µg/m³
331,Howrah,IN,pm25,44.41,µg/m³
332,Howrah,IN,pm10,94.99,µg/m³
333,Howrah,IN,co,410.0,µg/m³
334,Howrah,IN,o3,24.84,µg/m³
335,Howrah,IN,co,240.0,µg/m³
336,Howrah,IN,no2,48.4,µg/m³
337,Govt. K.P. College,IN,co,260.0,µg/m³
338,Govt. K.P. College,IN,so2,3.4,µg/m³
339,Govt. K.P. College,IN,no2,12.4,µg/m³
340,Govt. K.P. College,IN,pm25,19.0,µg/m³
341,Govt. K.P. College,IN,pm10,103.0,µg/m³
342,Govt. K.P. College,IN,o3,25.3,µg/m³
343,Govt. K.P. College,IN,no2,6.8,µg/m³
344,Govt. K.P. College,IN,so2,9.4,µg/m³
345,Govt. K.P. College,IN,o3,58.4,µg/m³
346,Govt. K.P. College,IN,co,500.0,µg/m³
347,Govt. K.P. College,IN,pm25,15.0,µg/m³
348,Govt. K.P. College,IN,pm10,56.0,µg/m³
349,Kolkata,IN,no2,5.1,µg/m³
350,Kolkata,IN,co,210.0,µg/m³
351,Kolkata,IN,pm25,5.4,µg/m³
352,Kolkata,IN,pm10,20.2,µg/m³
353,Kolkata,IN,so2,12.2,µg/m³
354,Kolkata,IN,o3,36.38,µg/m³
355,Satna,IN,co,80000.0,µg/m³
356,Satna,IN,pm25,11.0,µg/m³
357,Satna,IN,so2,7.0,µg/m³
358,Satna,IN,pm10,265.0,µg/m³
